timestamp,open,high,low,close,volume
1281657600000,0.0645,0.0645,0.0645,0.0645,0.0
1281744000000,0.0645,0.0695,0.0645,0.067,295.3025
1281830400000,0.067,0.067,0.065,0.06529,294.9521
1281916800000,0.06529,0.0679,0.062,0.0655,696.8120000000001
1282003200000,0.0655,0.0769,0.06243,0.07,915.0099
1282089600000,0.07,0.0733,0.067,0.068,203.82951
1282176000000,0.068,0.068,0.0667,0.0667,50.042
1282262400000,0.0667,0.0667,0.065,0.0655,276.4275
1282348800000,0.0655,0.0669,0.0644,0.0664,688.5260000000001
1282435200000,0.0664,0.0664,0.0612,0.066,1183.645
1282521600000,0.066,0.06689,0.063,0.06491,281.88210000000004
1282608000000,0.06491,0.0665,0.06491,0.065,444.66779999999994
1282694400000,0.065,0.0665,0.0641,0.0648,278.8656
1282780800000,0.0648,0.0658,0.064,0.064,251.56000000000003
1282867200000,0.064,0.065,0.063,0.065,583.7127
1282953600000,0.065,0.065,0.0641,0.0646,399.4390000000001
1283040000000,0.0646,0.0648,0.064,0.064,204.8774
1283126400000,0.064,0.069,0.03211,0.06497,2134.98668
1283212800000,0.06497,0.06497,0.06,0.06,933.228
1283299200000,0.06,0.0629,0.05961,0.0629,436.72459999999995
1283385600000,0.0629,0.0634,0.0601,0.0634,498.9751
1283472000000,0.0634,0.0634,0.06085,0.06085,54.61150000000001
1283558400000,0.06085,0.06238,0.06085,0.06238,202.2625
1283644800000,0.06238,0.064,0.0605,0.06165,527.9735000000001
1283731200000,0.06165,0.0627,0.0616,0.0616,56.129999999999995
1283817600000,0.0616,0.06201,0.0603,0.06101,212.3514
1283904000000,0.06101,0.062,0.06099,0.062,143.364
1283990400000,0.062,0.0624,0.06109,0.06111,107.67599999999999
1284076800000,0.06111,0.0618,0.06014,0.0618,301.79999999999995
1284163200000,0.0618,0.065,0.0618,0.06366,491.18800000000005
1284249600000,0.06366,0.06366,0.0615,0.0615,48.99
1284336000000,0.0615,0.064,0.0607,0.06219,632.1929999999999
1284422400000,0.06219,0.175,0.061,0.06199,876.7549999999998
1284508800000,0.06199,0.0625,0.0604,0.0604,223.26999999999998
1284595200000,0.0604,0.0619,0.0604,0.0619,45.17
1284681600000,0.0619,0.0619,0.059,0.0601,438.933
1284768000000,0.0601,0.061,0.05761,0.061,427.757
1284854400000,0.061,0.0627,0.06,0.0627,797.3499999999998
1284940800000,0.0627,0.0634,0.062,0.0621,891.2020000000001
1285027200000,0.0621,0.0633,0.0621,0.06265,359.82879999999994
1285113600000,0.06265,0.06265,0.06147,0.0622,717.3240000000001
